Td	ID	  	Tj	Df	Dd	Db
5925	2063	31	28	5866	5894
5928	512		393	5535	0	5535
5935	509		390	5545	0	5545
5953	2545	420	205	5328	5533
5973	111		73	21	5879	5900
5979	2875	640	352	4987	5339
5981	2878	640	353	4988	5341
5985	508		390	5595	0	5595
5986	128		97	25	5864	5889
6019	348		274	72	5673	5745
6023	2041	21	20	5982	6002
6037	2602	442	236	5359	5595
6054	88		66	16	5972	5988
6056	33		26	6	6024	6030
6058	2959	690	373	4995	5368
6071	194		137	38	5896	5934
6082	507		390	5692	0	5692
6082	840		602	167	5313	5480
6088	491		373	5715	0	5715
6097	670		480	133	5484	5617
6102	257		179	54	5869	5923
6107	2629	475	249	5383	5632
6107	2405	317	158	5632	5790
6109	483		359	5750	0	5750
6109	384		295	82	5732	5814
6110	2091	47	37	6026	6063
6112	480		359	5753	0	5753
6118	389		298	84	5736	5820
6126	2191	143	73	5910	5983
6132	2646	489	256	5387	5643
6132	505		390	107	5635	5742
6137	475		354	5783	0	5783
6143	514		393	109	5641	5750
6145	2653	496	260	5389	5649
6145	310		243	67	5835	5902
6165	213		149	41	5975	6016
6169	2305	226	118	5825	5943
6184	319		251	67	5866	5933
6188	471		354	5834	0	5834
6202	12		7	1	6194	6195
6205	2699	533	282	5390	5672
6208	2466	359	176	5673	5849
6210	2322	238	122	5850	5972
6210	2323	238	122	5850	5972
6228	745		536	148	5544	5692
6239	2217	161	81	5997	6078
6246	468		346	5900	0	5900
6248	2741	561	295	5392	5687
6255	2749	565	300	5390	5690
6267	448		335	5932	0	5932
6276	767		563	154	5559	5713
6293	473		354	100	5839	5939
6294	149		105	29	6160	6189
6298	2799	578	319	5401	5720
6310	2822	582	327	5401	5728
6312	2229	163	89	6060	6149
6319	89		66	16	6237	6253
6332	192		137	38	6157	6195
6338	440		332	6006	0	6006
6344	414		325	6019	0	6019
6349	2528	413	196	5740	5936
6358	2852	614	342	5402	5744
6360	2853	614	343	5403	5746
6361	2535	416	199	5746	5945
6362	2536	416	200	5746	5946
6362	253		179	53	6130	6183
6364	2256	178	96	6090	6186
6375	2858	633	345	5397	5742
6376	2007	10	2	6364	6366
6399	2120	69	47	6283	6330
6403	2122	69	48	6286	6334
6409	206		145	40	6224	6264
6414	399		311	86	6017	6103
6417	2896	655	353	5409	5762
6422	2071	41	29	6352	6381
6437	316		251	67	6119	6186
6437	318		251	67	6119	6186
6444	387		298	6146	0	6146
6446	2923	678	361	5407	5768
6447	364		290	6157	0	6157
6456	11		7	1	6448	6449
6463	2387	295	149	6019	6168
6464	2946	686	371	5407	5778
6468	224		153	43	6272	6315
6472	2954	689	373	5410	5783
6475	357		288	6187	0	6187
6488	2133	78	48	6362	6410
6494	2981	699	382	5413	5795
6495	340		272	6223	0	6223
6497	2397	304	152	6041	6193
6498	2398	304	153	6041	6194
6506	989		704	204	5598	5802
6509	2046	24	21	6464	6485
6513	338		272	69	6172	6241
6524	2636	477	251	5796	6047
6534	332		268	6266	0	6266
6540	2640	484	256	5800	6056
6543	2644	489	256	5798	6054
6552	154		105	29	6418	6447
6555	2417	336	160	6059	6219
6566	312		243	6323	0	6323
6568	2197	149	76	6343	6419
6573	2428	344	161	6068	6229
6574	616		469	125	5980	6105
6578	2439	345	165	6068	6233
6578	2308	227	119	6232	6351
6584	2678	514	274	5796	6070
6596	259		179	6417	0	6417
6600	2055	25	24	6551	6575
6609	2705	535	283	5791	6074
6616	2717	540	287	5789	6076
6621	250		176	6445	0	6445
6621	861		625	173	5823	5996
6625	221		153	6472	0	6472
6627	868		629	175	5823	5998
6630	392		298	85	6247	6332
6634	96		68	18	6548	6566
6640	180		121	6519	0	6519
6642	2490	374	184	6084	6268
6642	700		497	140	6005	6145
6655	173		120	6535	0	6535
6658	2223	161	84	6413	6497
6679	535		406	111	6162	6273
6690	167		118	6572	0	6572
6702	2810	579	321	5802	6123
6703	158		110	6593	0	6593
6704	2506	388	192	6124	6316
6706	2509	388	193	6125	6318
6709	153		105	6604	0	6604
6712	955		680	194	5838	6032
6719	2166	100	65	6554	6619
6722	172		120	34	6568	6602
6726	2827	596	331	5799	6130
6737	152		105	6632	0	6632
6738	2001	3	4	6731	6735
6739	752		550	148	6041	6189
6752	2029	20	15	6717	6732
6753	2850	614	341	5798	6139
6756	2255	178	96	6482	6578
6758	148		105	6653	0	6653
6772	189		129	36	6607	6643
6774	2033	20	16	6738	6754
6776	136		99	6677	0	6677
6776	781		569	156	6051	6207
6778	132		97	6681	0	6681
6786	2377	282	143	6361	6504
6787	2560	426	210	6151	6361
6793	123		89	6704	0	6704
6824	119		85	6739	0	6739
6829	118		85	6744	0	6744
6838	2597	439	235	6164	6399
6870	2957	689	374	5807	6181
6871	108		73	6798	0	6798
6871	40		27	7	6837	6844
6873	2962	690	374	5809	6183
6874	2964	690	375	5809	6184
6884	2393	304	149	6431	6580
6888	2042	24	19	6845	6864
6891	84		56	6835	0	6835
6912	2409	323	156	6433	6589
6917	2637	484	254	6179	6433
6921	543		408	112	6401	6513
6930	2413	336	158	6436	6594
6942	2099	49	40	6853	6893
6944	417		325	92	6527	6619
6959	2684	517	275	6167	6442
6962	2102	49	41	6872	6913
6971	2459	353	173	6445	6618
6973	2153	94	61	6818	6879
6975	2318	236	121	6618	6739
6990	2475	362	180	6448	6628
6994	998		705	205	6084	6289
7012	49		30	8	6974	6982
7014	2494	374	184	6456	6640
7016	779		569	156	6291	6447
7016	784		569	156	6291	6447
7019	2738	561	292	6166	6458
7020	7		6	1	7013	7014
7020	144		104	27	6889	6916
7022	2336	245	130	6647	6777
7025	788		576	156	6293	6449
7026	791		576	157	6293	6450
7043	2768	569	307	6167	6474
7047	814		589	162	6296	6458
7048	817		589	164	6295	6459
7062	193		137	38	6887	6925
7069	836		602	167	6300	6467
7074	638		475	129	6470	6599
7077	648		476	131	6470	6601
7080	659		478	132	6470	6602
7081	2022	16	11	7054	7065
7106	290		236	62	6808	6870
7110	2840	608	337	6165	6502
7115	266		181	56	6878	6934
7115	296		238	63	6814	6877
7117	695		497	140	6480	6620
7120	2533	416	198	6506	6704
7123	2258	178	97	6848	6945
7127	2544	420	205	6502	6707
7132	315		243	67	6822	6889
7133	702		506	140	6487	6627
7141	915		652	185	6304	6489
7154	2885	649	350	6155	6505
7162	2384	285	147	6730	6877
7169	2579	433	224	6512	6736
7173	2583	434	227	6512	6739
7175	2586	434	229	6512	6741
7182	2596	439	234	6509	6743
7195	2928	682	363	6150	6513
7198	561		421	115	6662	6777
7201	966		686	196	6319	6515
7205	2610	444	239	6522	6761
7208	112		73	22	7113	7135
7211	2615	444	241	6526	6767
7215	2951	686	372	6157	6529
7218	756		550	149	6519	6668
7220	2014	14	7	7199	7206
7224	51		37	9	7178	7187
7225	2965	690	375	6160	6535
7226	330		268	69	6889	6958
7228	2080	43	34	7151	7185
7230	2973	697	378	6155	6533
7233	55		37	10	7186	7196
7236	342		272	71	6893	6964
7236	339		272	70	6894	6964
7238	2992	701	387	6150	6537
7238	578		443	118	6677	6795
7249	146		104	28	7117	7145
7251	2183	135	71	7045	7116
7251	789		576	156	6519	6675
7262	478		359	101	6802	6903
7264	86		66	15	7183	7198
7272	2649	489	257	6526	6783
7272	2285	220	111	6941	7052
7273	2146	89	58	7126	7184
7281	2416	336	160	6785	6945
7284	2419	336	161	6787	6948
7290	627		472	127	6691	6818
7295	26		22	4	7269	7273
7299	841		606	168	6525	6693
7301	2438	345	164	6792	6956
7302	117		85	24	7193	7217
7308	2677	514	274	6520	6794
7310	2682	517	275	6518	6793
7314	683		483	135	6696	6831
7321	385		295	83	6943	7026
7332	2708	538	285	6509	6794
7347	201		144	39	7164	7203
7355	2487	372	183	6800	6983
7357	2218	161	81	7115	7196
7384	537		406	111	6867	6978
7385	928		662	188	6535	6723
7388	541		408	111	6869	6980
7393	325		253	68	7072	7140
7399	2778	574	313	6512	6825
7410	737		532	146	6732	6878
7412	950		679	193	6540	6733
7425	2823	582	327	6516	6843
7431	17		9	3	7419	7422
7432	2234	165	92	7175	7267
7438	2518	397	194	6847	7041
7442	69		46	15	7381	7396
7445	990		704	205	6536	6741
7447	2059	30	27	7390	7417
7448	336		268	70	7110	7180
7449	135		99	25	7325	7350
7460	463		346	99	7015	7114
7475	241		172	49	7254	7303
7482	245		172	50	7260	7310
7488	2561	426	211	6851	7062
7501	2121	69	47	7385	7432
7502	246		176	51	7275	7326
7514	655		477	132	6905	7037
7523	2581	434	226	6863	7089
7524	255		179	54	7291	7345
7529	2076	41	30	7458	7488
7536	93		68	18	7450	7468
7537	289		236	61	7240	7301
7538	501		382	106	7050	7156
7550	694		497	140	6913	7053
7555	895		641	180	6734	6914
7559	2926	682	362	6515	6877
7560	309		243	66	7251	7317
7561	900		644	183	6734	6917
7565	2128	74	48	7443	7491
7566	2940	685	368	6513	6881
7569	907		648	184	6737	6921
7580	2016	14	9	7557	7566
7580	2077	43	33	7504	7537
7583	2081	43	34	7506	7540
7588	929		662	188	6738	6926
7589	320		251	68	7270	7338
7598	547		412	112	7074	7186
7603	734		527	146	6930	7076
7619	559		420	115	7084	7199
