Td	ID	  	Tj	Df	Dd	Db
341	2102	56	12	273	285
341	571		339	0	2	2
342	2554	335	0	7	7
342	2545	331	0	11	11
343	554		326	7	10	17
343	531		313	1	29	30
343	579		341	0	2	2
344	2542	330	1	13	14
344	543		322	10	12	22
344	560		331	0	13	13
344	498		289	0	55	55
345	2125	70	17	258	275
345	583		342	0	3	3
346	2561	338	0	8	8
347	2551	335	1	11	12
347	2564	338	0	9	9
349	2173	90	14	245	259
349	2174	90	15	244	259
349	2547	331	0	18	18
349	503		291	0	58	58
351	588		345	0	6	6
352	551		326	18	8	26
352	81		56	4	292	296
352	98		66	8	278	286
354	2580	343	1	10	11
354	567		337	7	10	17
355	2557	337	2	16	18
355	2570	341	0	14	14
355	513		294	61	0	61
357	2244	123	20	214	234
359	2571	341	1	17	18
359	584		342	5	12	17
361	2577	342	1	18	19
361	2591	348	0	13	13
361	586		345	3	13	16
361	566		337	8	16	24
362	2568	340	0	22	22
363	2589	347	0	16	16
363	600		359	0	4	4
363	596		359	0	4	4
363	601		360	0	3	3
364	2254	125	20	219	239
364	2179	92	15	257	272
364	575		339	13	12	25
366	581		342	13	11	24
366	143		87	13	266	279
367	2566	340	2	25	27
369	2081	46	7	316	323
369	612		367	0	2	2
370	613		367	0	3	3
371	128		80	8	283	291
372	75		49	5	318	323
372	106		72	8	292	300
374	2186	96	15	263	278
374	2188	96	16	262	278
378	2160	83	15	280	295
378	113		73	8	297	305
379	2162	83	15	281	296
379	617		376	0	3	3
380	618		376	0	4	4
380	185		106	15	259	274
382	213		122	18	242	260
384	2268	134	21	229	250
384	2168	86	14	284	298
384	2226	117	17	250	267
385	2282	157	20	208	228
387	625		384	0	3	3
389	166		92	16	281	297
390	631		388	0	2	2
391	623		384	2	5	7
392	634		388	0	4	4
392	633		388	0	4	4
393	2126	70	17	306	323
393	2200	103	16	274	290
395	639		391	0	4	4
397	116		74	8	315	323
397	193		110	15	272	287
401	2634	365	3	33	36
406	2206	107	16	283	299
406	641		401	0	5	5
407	2673	386	2	19	21
407	196		112	16	279	295
408	2619	358	1	49	50
410	2639	368	1	41	42
411	69		47	4	360	364
411	2616	358	1	52	53
411	2670	386	2	23	25
411	2687	402	0	9	9
411	478		278	133	0	133
413	2692	405	0	8	8
414	2609	355	0	59	59
415	651		407	0	8	8
418	2182	93	15	310	325
418	660		410	0	8	8
419	206		116	17	286	303
420	239		134	19	267	286
424	2629	361	4	59	63
425	2623	360	0	65	65
426	2630	365	1	60	61
427	2148	80	15	332	347
428	666		424	0	4	4
429	115		73	8	348	356
429	158		90	14	325	339
430	181		106	15	309	324
430	661		422	0	8	8
432	350		195	237	0	237
433	2192	98	16	319	335
434	2220	115	17	302	319
438	2676	392	0	46	46
440	2683	395	14	31	45
440	2696	409	0	31	31
442	2656	376	1	65	66
442	676		439	0	3	3
443	2283	157	20	266	286
443	2284	157	21	265	286
444	2595	350	8	86	94
444	170		92	17	335	352
445	2650	374	3	68	71
445	671		438	0	7	7
446	683		442	0	4	4
447	285		164	22	261	283
449	191		110	15	324	339
452	2596	350	0	102	102
452	2655	376	0	76	76
453	2236	122	19	312	331
453	118		74	8	371	379
454	2659	376	2	76	78
455	2237	122	19	314	333
456	2614	357	0	99	99
458	2719	417	5	36	41
458	2689	402	8	48	56
458	2672	386	1	71	72
459	2642	369	0	90	90
459	2720	418	7	34	41
460	2241	123	19	318	337
460	2700	412	1	47	48
460	2598	350	0	110	110
460	2754	447	5	8	13
460	255		146	23	291	314
461	690		452	0	9	9
461	137		83	11	367	378
462	2755	450	2	10	12
462	697		455	7	0	7
463	2603	354	2	107	109
463	704		456	0	7	7
464	2652	374	3	87	90
464	696		455	0	9	9
466	334		189	277	0	277
467	2175	92	15	360	375
467	2245	124	20	323	343
469	707		459	0	10	10
470	2249	124	20	326	346
470	703		456	0	14	14
472	234		132	17	323	340
472	686		452	0	20	20
472	688		452	0	20	20
473	2671	386	7	80	87
473	2749	446	9	18	27
475	2751	447	5	23	28
475	2663	382	3	90	93
476	2178	92	15	369	384
476	2668	385	5	86	91
476	2748	446	9	21	30
