Td	ID	  	Tj	Df	Dd	Db
766	999		759	0	7	7
768	2880	643	0	125	125
770	2844	616	0	154	154
772	2869	640	0	132	132
773	969		746	0	27	27
774	2131	104	30	640	670
774	993		756	0	18	18
777	962		745	0	32	32
777	957		736	0	41	41
777	970		746	0	31	31
780	2839	612	0	168	168
781	2826	609	0	172	172
782	931		720	0	62	62
785	2039	40	10	735	745
787	2822	608	0	179	179
788	2717	538	0	250	250
790	2801	593	0	197	197
793	990		756	37	0	37
793	18		19	4	770	774
793	19		19	4	770	774
793	48		44	11	738	749
795	2137	108	30	657	687
797	2794	591	0	206	206
801	2233	168	33	600	633
810	2044	42	12	756	768
832	2150	112	31	689	720
837	33		24	7	806	813
837	63		57	11	769	780
838	2075	69	18	751	769
841	2017	23	5	813	818
864	121		110	14	740	754
881	2114	91	26	764	790
963	2095	75	24	864	888
972	968		746	226	0	226
972	50		45	11	916	927
979	134		122	15	842	857
1011	2183	133	26	852	878
1013	2126	104	29	880	909
1021	170		144	31	846	877
1034	223		177	48	809	857
1035	2230	167	33	835	868
1042	181		147	36	859	895
1046	87		89	9	948	957
1068	188		148	37	883	920
1074	2151	112	31	931	962
1078	105		99	13	966	979
1082	2018	23	6	1053	1059
1086	2155	115	29	942	971
1089	23		22	4	1063	1067
1108	2245	176	37	895	932
1109	2112	91	25	993	1018
1117	2116	91	26	1000	1026
1128	16		19	4	1105	1109
1139	2164	120	29	990	1019
1148	95		93	11	1044	1055
1155	2081	73	19	1063	1082
1199	2029	39	8	1152	1160
1213	2053	63	12	1138	1150
1219	126		110	15	1094	1109
1225	271		234	63	928	991
1233	2122	102	28	1103	1131
1233	2031	39	8	1186	1194
1251	2102	77	26	1148	1174
1253	2127	104	29	1120	1149
1259	2057	66	13	1180	1193
1260	2060	66	14	1180	1194
1267	2040	40	11	1216	1227
1268	289		243	66	959	1025
1268	290		243	66	959	1025
1277	295		244	69	964	1033
1303	2189	143	28	1132	1160
1303	127		117	13	1173	1186
1303	130		117	13	1173	1186
1303	142		131	26	1146	1172
1314	2048	42	13	1259	1272
1316	2291	210	39	1067	1106
1373	2080	73	19	1281	1300
1376	80		87	8	1281	1289
1377	166		143	29	1205	1234
1383	169		144	31	1208	1239
1392	221		177	48	1167	1215
1421	2084	74	22	1325	1347
1422	2087	74	23	1325	1348
1423	2088	74	23	1326	1349
1428	2089	74	23	1331	1354
