Td	ID	  	Tj	Df	Dd	Db
1673	4037	49	10	1614	1624
1675	4097	99	31	1545	1576
1675	4099	99	32	1544	1576
1676	4134	134	44	1498	1542
1676	4240	239	80	1357	1437
1676	56		55	10	1611	1621
1678	4248	244	83	1351	1434
1678	59		55	10	1613	1623
1679	4139	140	47	1492	1539
1681	4111	106	37	1538	1575
1681	4055	64	16	1601	1617
1685	4208	212	70	1403	1473
1689	4078	73	24	1592	1616
1690	4129	130	43	1517	1560
1691	4242	239	81	1371	1452
1692	4138	140	46	1506	1552
1693	4105	105	35	1553	1588
1694	4106	105	35	1554	1589
1695	4057	64	17	1614	1631
1696	4199	206	68	1422	1490
1699	2871	871	46	782	828
1699	4068	69	20	1610	1630
1699	4074	72	22	1605	1627
1699	20		32	1	1666	1667
1700	2903	909	8	783	791
1700	4160	169	55	1476	1531
1702	2735	724	18	960	978
1702	4167	171	59	1472	1531
1702	4126	130	42	1530	1572
1703	110		99	19	1585	1604
1708	4201	209	68	1431	1499
1708	4203	209	69	1430	1499
1709	4216	215	73	1421	1494
1714	430		418	79	1217	1296
1716	2768	766	0	950	950
1717	4154	167	53	1497	1550
1718	4079	73	24	1621	1645
1719	4241	239	80	1400	1480
1722	4190	200	64	1458	1522
1724	4231	225	77	1422	1499
1728	4191	200	64	1464	1528
1729	4087	89	29	1611	1640
1731	4102	103	33	1595	1628
1732	4180	188	61	1483	1544
1732	4181	188	62	1482	1544
1733	4204	209	70	1454	1524
1734	4164	169	57	1508	1565
1736	4243	239	81	1416	1497
1736	4136	140	46	1550	1596
1738	2644	647	7	1084	1091
1738	4165	171	58	1509	1567
1738	4236	238	78	1422	1500
1739	4177	187	60	1492	1552
1739	4140	141	47	1551	1598
1740	4227	220	76	1444	1520
1740	4143	141	48	1551	1599
1741	79		69	13	1659	1672
1742	4127	130	42	1570	1612
1744	4118	118	38	1588	1626
1750	2026	30	4	1716	1720
1753	264		246	53	1454	1507
1765	214		209	43	1513	1556
1767	2954	961	6	800	806
1772	461		453	88	1231	1319
1775	2028	30	5	1740	1745
1775	2761	762	18	995	1013
1782	222		213	44	1525	1569
1786	2883	887	10	889	899
1788	2905	927	2	859	861
1788	101		91	17	1680	1697
1791	2938	957	1	833	834
1792	2900	909	1	882	883
1795	2892	897	21	877	898
1795	95		76	17	1702	1719
1797	45		48	7	1742	1749
1809	355		345	71	1393	1464
1810	300		287	59	1464	1523
1811	2927	947	14	850	864
1812	2860	861	4	947	951
1816	2969	981	1	834	835
1818	2967	981	26	811	837
1825	2983	992	1	832	833
1827	2990	1001	0	826	826
1829	2933	956	0	873	873
1838	2878	877	13	948	961
1846	2873	871	20	955	975
1852	2759	758	6	1088	1094
1859	2974	985	7	867	874
1861	2915	944	10	907	917
1864	2855	860	46	958	1004
1867	2886	895	31	941	972
1873	231		217	47	1609	1656
1881	57		55	10	1816	1826
1896	414		405	77	1414	1491
1922	167		168	30	1724	1754
1953	2084	97	13	1843	1856
1969	323		299	65	1605	1670
1977	772		770	159	1048	1207
1995	516		534	111	1350	1461
2012	663		659	141	1212	1353
2013	664		659	141	1213	1354
2022	540		546	119	1357	1476
2022	537		546	118	1358	1476
2025	159		151	27	1847	1874
2026	229		215	46	1765	1811
2027	87		73	16	1938	1954
2027	125		106	22	1899	1921
2036	190		187	36	1813	1849
2044	681		697	144	1203	1347
2054	16		32	1	2021	2022
2054	50		49	8	1997	2005
2070	353		345	71	1654	1725
2077	578		596	125	1356	1481
2082	584		599	127	1356	1483
2094	78		69	12	2013	2025
2099	2011	22	4	2073	2077
2103	258		244	53	1806	1859
2117	261		246	53	1818	1871
2118	206		206	40	1872	1912
2121	210		206	41	1874	1915
2151	131		127	22	2002	2024
2153	997		971	197	985	1182
2154	218		212	44	1898	1942
2154	801		802	169	1183	1352
2162	538		546	118	1498	1616
2164	284		258	57	1849	1906
2166	392		386	75	1705	1780
2169	408		393	76	1700	1776
2170	102		91	17	2062	2079
2173	187		187	35	1951	1986
2179	245		225	49	1905	1954
2180	145		134	25	2021	2046
2182	682		697	144	1341	1485
2192	128		118	21	2053	2074
2193	420		412	77	1704	1781
2199	2027	30	4	2165	2169
2200	491		493	95	1612	1707
2201	164		167	29	2005	2034
2204	426		418	78	1708	1786
2205	573		595	124	1486	1610
2207	723		723	156	1328	1484
2222	594		608	130	1484	1614
2227	604		611	133	1483	1616
2230	437		429	81	1720	1801
2232	752		749	158	1325	1483
2237	318		298	63	1876	1939
2249	773		770	159	1320	1479
2252	366		368	71	1813	1884
2259	335		302	68	1889	1957
2261	632		642	138	1481	1619
2263	270		251	53	1959	2012
2281	530		543	115	1623	1738
2284	220		212	44	2028	2072
2289	820		806	174	1309	1483
2307	559		570	122	1615	1737
2312	687		698	147	1467	1614
2316	295		280	58	1978	2036
2329	576		596	125	1608	1733
2340	497		505	96	1739	1835
2352	34		46	5	2301	2306
2358	260		244	53	2061	2114
2359	316		298	63	1998	2061
2364	364		362	70	1932	2002
2377	176		171	35	2171	2206
2383	331		302	67	2014	2081
2413	283		258	57	2098	2155
2417	345		328	66	2023	2089
2422	675		692	143	1587	1730
2423	556		570	122	1731	1853
2429	689		698	148	1583	1731
2431	565		577	124	1730	1854
2436	2036	37	4	2395	2399
2437	714		709	153	1575	1728
2463	744		737	158	1568	1726
2464	591		608	129	1727	1856
2470	602		611	132	1727	1859
2476	314		296	62	2118	2180
2476	312		296	61	2119	2180
2476	754		749	158	1569	1727
2481	764		756	157	1568	1725
2482	453		433	84	1965	2049
2496	964		934	197	1365	1562
2497	369		368	72	2057	2129
2501	2046	42	7	2452	2459
2503	975		944	196	1363	1559
2511	983		954	196	1361	1557
2519	995		964	198	1357	1555
2522	465		453	89	1980	2069
2523	998		971	198	1354	1552
2524	803		802	170	1552	1722
2526	466		455	89	1982	2071
2528	817		806	173	1549	1722
2540	188		187	35	2318	2353
2541	671		692	141	1708	1849
2545	676		696	144	1705	1849
2560	857		865	187	1508	1695
2566	495		493	96	1977	2073
2571	888		880	193	1498	1691
2574	729		726	156	1692	1848
2576	255		239	53	2284	2337
2576	587		600	129	1847	1976
2577	588		600	129	1848	1977
2584	743		737	157	1690	1847
2586	76		69	12	2505	2517
2593	256		244	53	2296	2349
2593	259		244	53	2296	2349
2594	317		298	63	2233	2296
2595	762		756	156	1683	1839
2603	941		927	194	1482	1676
2610	368		368	71	2171	2242
2619	212		209	42	2368	2410
2619	640		645	139	1835	1974
2627	647		652	140	1835	1975
2628	116		105	20	2503	2523
2635	805		802	170	1663	1833
2637	468		455	89	2093	2182
2639	535		545	117	1977	2094
2641	282		258	56	2327	2383
2643	398		388	76	2179	2255
